localite_ID_renacom,latitude,loc_type,locality,longitude,n_bureau,n_population_2001,n_population_2012,n_voters
101,15.6,PE,HAMBOBILA (PE),8.13,1,38,,0.0
102,16.71,PE,KATA,7.94,1,142,,0.0
103,15.55,PE,INTIRZA,7.98,1,94,441.0,0.0
104,17.43,PE,SOBO I (TAGAZA PE),6.47,1,141,,0.0
105,17.35,PE,INTCHILILT,8.35,1,13,,0.0
106,15.59,PE,EKINAWEN,7.63,1,96,,0.0
107,15.65,PE,ABATOLE (PE),7.29,1,16,,0.0
108,15.61,PE,ANOU DJIBO,7.09,1,28,,0.0
109,15.81,PE,KIRIRIA KEL AGAROUS,7.95,1,18,,0.0
110,15.8,PE,TCHINBAGATOU ISMAGHIL,7.12,1,68,,0.0
111,16.63,PE,ADAM (PE),6.41,1,38,,0.0
112,16.99,QT,TOUDOU,7.98,6,3677,5686.0,2355.0
113,16.98,QT,ABAZENE EZEMBE ( OT ),7.97,1,1286,,0.0
114,16.98,QT,ABALENE MAGEMA ( QT ),7.96,1,883,,0.0
115,17.03,QT,ALARCESS,8.02,1,2506,,0.0
116,16.96,QT,DARE(QT),7.91,1,461,,0.0
117,16.95,QT,OUREY( QT),7.87,1,442,,0.0
118,16.87,QT,TASSAK N'TALAM,8.03,1,534,,0.0
119,16.99,VA,TAJAJARET (VA),7.97,1,1229,,0.0
120,18.84,VA,AMIDIL,7.33,1,90,,0.0
121,18.82,VA,TAKRIZA,7.75,1,563,,0.0
122,18.74,PE,ARLIT,7.38,1,257,,0.0
123,17.39,VA,INTIRZAWANE,8.61,1,239,,0.0
124,17.3,VA,IN WITSANE,8.61,1,267,,0.0
125,17.31,VA,INZIRIADAN,8.23,1,106,,0.0
126,17.73,VA,ELMEKI,8.27,1,674,,398.0
127,17.14,VA,N'DOUDOU (VA),8.07,1,202,,0.0
128,17.13,VA,BOULOUMBAOU (VA),8.08,1,176,,0.0
129,17.13,VA,ASSANAGA,8.07,1,384,653.0,296.0
130,17.22,VA,IMIN ABOGATAN (VA),8.32,1,147,,0.0
131,17.33,VA,ASSA EGDILYAREY,8.14,1,263,,0.0
132,17.28,VA,INNIJAKAT (VA),8.11,1,80,,0.0
133,17.29,VA,BABARE,8.13,1,201,435.0,0.0
134,17.22,VA,INWAZEIDI,8.07,1,177,392.0,151.0
135,17.99,VA,MALLETAS,8.29,1,220,,0.0
136,17.12,VA,TANTOUN MAIDARA (VA),8.39,1,368,,0.0
137,17.98,VA,TAKARKAD,8.46,1,185,,0.0
138,17.25,VA,INTATA,8.04,1,378,,0.0
139,17.99,VA,ARENAT,8.23,1,289,,0.0
140,17.88,VA,GUISSAT,8.19,1,499,,263.0
141,17.31,VT,DABAGA I,8.13,1,168,,0.0
142,17.27,VA,DABAGA II,8.1,1,722,,0.0
143,17.3,VA,TAKAYA,8.16,1,261,,0.0
144,17.74,VA,TALAT-NOUSHOU,8.41,1,61,,0.0
145,17.63,VA,AOUDERASS,8.41,1,764,727.0,0.0
146,17.62,VA,AZANGALLAN,8.37,1,222,,0.0
147,17.63,VA,ZARO,8.31,1,41,,0.0
148,17.63,VA,BETHERMATASS,8.34,1,229,,0.0
149,17.79,VA,EGARGAR,8.38,1,204,,0.0
150,17.65,VA,TEGOUNAK,8.33,1,214,,0.0
151,17.66,VA,MAMAKAOUTCHI,8.31,1,552,,0.0
152,17.52,VA,TCHOUGOUROURAN (VA),8.29,1,246,,0.0
153,17.52,VA,EWIRKET (VA),8.32,1,94,,0.0
154,17.6,VA,TAZALALAN (VA),8.33,1,220,,0.0
155,17.53,VA,N'TIGUER (VA),8.33,1,85,,0.0
156,17.54,VA,KOULLA (VA),8.36,1,106,,0.0
157,17.07,VA,TIGUEBCHIRI,8.65,1,159,,0.0
158,17.31,VA,TABEGUEWA,8.2,1,167,,0.0
159,17.63,VA,AMATASSA,8.39,1,115,253.0,130.0
160,17.46,VA,DAGASS (VA),7.86,1,163,,0.0
161,17.41,VA,TIZEMALAT (VA),7.95,1,582,,0.0
162,17.15,VA,TADELIZA,8.06,1,1068,,0.0
163,17.17,VT,IGUIZARAN MALOLNEN,8.06,1,199,,0.0
164,17.2,H,BEYTAL,8.05,1,304,,0.0
165,16.64,VA,AGAROUSS (VA),6.47,1,71,,0.0
166,17.13,VA,BOUGHOUL (VA),8.16,1,1036,,0.0
167,17.23,VA,GUIRMAT (VA),7.61,1,187,,0.0
168,17.13,VA,TOUMGA,8.07,1,394,577.0,480.0
169,17.57,CPT,GUARMAT (VA),8.23,1,70,,0.0
170,16.52,CPT,BOZ-BOZ,7.25,1,109,,0.0
171,17.51,CPT,BOUDEL MASSALATCHI,8.4,1,356,,0.0
172,15.58,PE,IMBOGOTAN (PE),7.87,1,158,,0.0
173,17.74,PE,ERES N'GOUA (PE),8.21,1,175,,0.0
174,17.77,PE,KODRI (PE),8.24,1,265,,0.0
175,17.83,PE,TCHISSEK (PE),8.3,1,378,,0.0
